Code,CommonName,Class,Order,Family,Genus,Species,Subspecies,Species2,Extant,Native,Marine,Yellow,Blue,Red,CDCode,ABCode,Ktunaxa
CHMC,Blotched Snakehead,Actinopterygii,Perciformes,Channidae,Channa,maculata,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
CYAG,Shiner Perch,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,aggregata,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,F-CYAG,NA,NA
P,Perch (General),Actinopterygii,Perciformes,Percidae,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
YP,Yellow Perch,Actinopterygii,Perciformes,Percidae,Perca,flavescens,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-PEFL,YLPR,NA
WP,Walleye,Actinopterygii,Perciformes,Percidae,Sander,vitreus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-SAVI,WALL,NA
TP,Trout-Perch,Actinopterygii,Percopsiformes,Percopsidae,Percopsis,omiscomaycus,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-PEOM,TRPR,NA
SA,Salmon (General),Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
TR,Unidentifiable Trout - only fry <70mm in length,Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
WF,Whitefish (General),Actinopterygii,Salmoniformes,Salmonidae,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA
CL,Cisco,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,artedi,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,F-COAR,NA,NA
CA,Arctic Cisco,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,autumnalis,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,F-COAU,NA,NA
LW,Lake Whitefish,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,clupeaformis,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-COCL,LKWH,NA
CB,Bering Cisco,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,laurettae,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
BW,Broad Whitefish,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,nasus,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,F-CONA,NA,NA
CS,Least Cisco,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,sardinella,NA,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,F-COSR,NA,NA
DLW,Dragon Lake Whitefish,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,sp,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
SQ,Squanga,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,sp,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
AO,All Pacific Salmon,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA
ACT,Cutthroat Trout (Anadromous),Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,clarkii,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,F-ONCL,CTTR,NA
CT,Cutthroat Trout,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,clarkii,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,F-ONCL,CTTR,NA
CRS,Cutthroat/Rainbow cross,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,clarkii,NA,mykiss,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA
CCT,Coastal Cutthroat Trout,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,clarkii,clarkii,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,F-ONCL-CL,NA,NA
WCT,Westslope Cutthroat Trout,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,clarkii,lewisi,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,F-ONCL-LE,WSCT,qustit'
PK,Pink Salmon,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,F-ONGO,NA,NA
CM,Chum Salmon,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,keta,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,F-ONKE,NA,NA
CO,Coho Salmon,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,kisutch,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,F-ONKI,CHSL,NA
RB,Rainbow Trout,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,F-ONMY,GLTR,NA
SST,Steelhead (Summer-run),Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,mykiss,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,F-ONMY,RNTR,NA
