Species Code,Prov Status Change Date,COSEWIC Comments,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status,Element Code
F-BEDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Scopelarchidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC8G01010
F-BELI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Aulopiformes,Scopelarchidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC8G01020
F-BEPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Trichiuridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCS202020
F-BETE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Trichiuridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCS202040
F-BLBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hemitripteridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E26010
F-BLCI,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hemitripteridae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4E26020
F-BOSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFC4F07010
F-BOBR,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCS802020
F-BOMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCS802030
F-BOPU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae,NA,NA,NA,NA,NA,NA,Native,Regularly occurring,NA,NA,N,N,NA,AFCMG02010
