Scientific Name,Scientific Name Synonyms,English Name,English Name Synonyms,Species Code,Element Code,Global Status,Global Status Review Date,Prov Status,Prov Status Review Date,Prov Status Change Date,COSEWIC,COSEWIC Comments,BC List,Provincial FRPA,Land Use Objectives,Ecosection,Prov Wildlife Act,GOERT,MBCA,SARA,SARA Comments,General Status Canada,CITES,Name Category,Class (English),Species Level,Kingdom,Phylum,Class,Order,Family,Forest Dist,MOE Region,Regional Dist,Municipality,BGC,Habitat Subtype,Origin,Presence,Breeding Bird,Ecosystem Group,Endemic,CDC Maps,Mapping Status
Cyprinus carpio,,Common Carp,,F-CYCA,AFCJB08010,G5,13-Sep-96,SNA,15-May-19,20-Jan-03, , ,Exotic, ,, ,,,,,,7 - Exotic (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae, ,1;2;3;4;8, , ,BG;BWBS;CDF;CWH;ICH;IDF;PP;SBS,,Exotic,Regularly occurring,, ,N,N,
Danaphos oculatus,,Bottlelight,,F-DAOC,AFC7D03010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Sternoptychidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Dasycottus setiger,,Spinyhead Sculpin,,F-DASE,AFC4E28010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Psychrolutidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Derepodichthys alepidotus,,Cuskpout,,F-DEAL,AFCS812010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Zoarcidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Diaphus theta,,California Headlightfish,,F-DITH,AFCVH02010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Myctophiformes,Myctophidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Elassodiscus caudatus,,Humpback Snailfish,,F-ELCA,AFC4G10070,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Liparidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Embassichthys bathybius,,Deepsea Sole,,F-EMBA,AFCTB03010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Embiotoca lateralis,,Striped Seaperch,,F-EMLA,AFCQK05020,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Engraulis mordax,,Northern Anchovy,,F-ENMO,AFCFB04020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Clupeiformes,Engraulidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Enophrys bison,,Buffalo Sculpin,,F-ENBI,AFC4E29010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Enophrys lucasi,,Leister Sculpin,,F-ENLU,AFC4E29030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Entosphenus macrostomus,Lampetra macrostoma,Cowichan Lake Lamprey,Lake Lamprey;Vancouver Island Lake Lamprey;Vancouver Lamprey,F-ENMA,AFBAA02120,G1G2,29-Nov-18,S2,15-May-19,15-May-19,T (Dec 2017), ,Red, ,, ,,,,1-T (Jun 2003),,1 - At Risk (2005),,Vertebrate Animal,Lampreys,Species,Animalia,Craniata,Petromyzontida,Petromyzontiformes,Petromyzontidae,DCR;DNI;DSI,1,CVRD,Lake Cowichan,CWH,,Native,Regularly occurring,, ,Y,Y,
Entosphenus tridentatus,Lampetra tridentata,Pacific Lamprey,,F-ENTR,AFBAA02100,G4,23-Feb-12,S5,15-May-19,11-May-10, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,Lampreys,Species,Animalia,Craniata,Petromyzontida,Petromyzontiformes,Petromyzontidae, ,1;2;3;5;6;7, , ,BG;CDF;CWH;ICH;IDF;PP;SBS,,Native,Regularly occurring,, ,N,N,
Eopsetta jordani,,Petrale Sole,,F-EOJO,AFCTB04010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Eptatretus deani,,Black Hagfish,,F-EPDE,AFABA01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,hagfishes,Species,Animalia,Craniata,Myxini,Myxiniformes,Myxinidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Eptatretus stoutii,,Pacific Hagfish,,F-EPST,AFABA01020,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,hagfishes,Species,Animalia,Craniata,Myxini,Myxiniformes,Myxinidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Erilepis zonifer,,Skilfish,,F-ERZO,AFC4C02010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Anoplopomatidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Esox lucius,,Northern Pike,,F-ESLU,AFCHD01020,G5,17-Aug-15,S5,12-Jan-04,, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Esociformes,Esocidae, ,4;6;9, , ,BWBS;CWH;SBS;SWB,,Native,Regularly occurring,, ,N,N,
Eumicrotremus orbis,,Pacific Spiny Lumpsucker,,F-EUOR,AFC4G13030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cyclopteridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Gadus macrocephalus,,Pacific Cod,,F-GAMA,AFCMA08010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Gadidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Galeorhinus galeus,,Soupfin Shark,Tope,F-GAGA,AFDDG02030,GNR,,SNR,,,SC (Apr 2007), ,No Status, ,, ,,,,1-SC (Mar 2009),, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Carcharhiniformes,Triakidae, , , , , ,Pelagic,Native,Regularly occurring,, ,N,N,
Gasterosteus aculeatus,,Threespine Stickleback,,F-GAAC,AFCPA03010,G5,27-Dec-17,S5,30-Mar-18,31-Jan-92, , ,Yellow, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DKM;DQC,1;2;5;6;8,SQCRD, ,BWBS;CDF;CWH;ICH;IDF;MH;PP;SWB,,Native,Regularly occurring,, ,N,N,
Gasterosteus aculeatus pop. 1,Gasterosteus aculeatus ssp.,Charlotte Unarmoured Threespine Stickleback,Charlotte Unarmoured Stickleback,F-GAAC-01,AFCPA03014,G5T2,05-Jul-19,S1S2,30-Mar-18,30-Mar-18,SC (Nov 2013), ,Red, ,, ,,,,3,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DQC,6,SQCRD, ,CWH,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus aculeatus pop. 2,,Little Quarry Lake Benthic Threespine Stickleback,,F-GAAC-02,AFCPA03016,G5TNR,,S1,15-May-19,15-May-19,T (Nov 2015), ,Red, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSC,2,SCRD, ,CWHxm,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus aculeatus pop. 3,,Little Quarry Limnetic Threespine Stickleback,,F-GAAC-03,AFCPA03017,G5TNR,,S1,15-May-19,15-May-19,T (Nov 2015), ,Red, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSC,2,SCRD, ,CWHxm,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 1,,Giant Threespine Stickleback,Giant Black Stickleback,F-GASP-01,AFCPA03X10,G1,05-Jul-19,S1S2,30-Mar-18,30-Mar-18,SC (Nov 2013), ,Red, ,, ,,,,3,,3 - Sensitive (2000),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DQC,6,SQCRD, ,CWH,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 12,,Hadley Lake Limnetic Stickleback,,F-GASP-12,AFCPA03140,GX,29-Nov-18,SX,30-Mar-18,28-Nov-94,XX (May 2000), ,Extinct, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSC,1,PWRD, ,CDF,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 13,,Hadley Lake Benthic Stickleback,,F-GASP-13,AFCPA03150,GX,29-Nov-18,SX,30-Mar-18,28-Nov-94,XX (May 2000), ,Extinct, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSC,1,PWRD, ,CDF,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 16,,Vananda Creek Limnetic Stickleback,,F-GASP-16,AFCPA03180,G1,29-Nov-18,S1,30-Mar-18,06-Mar-00,E (Apr 2010), ,Red,Y (May 2004),, ,,,,1-E (Jun 2003),, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSC,2,PWRD, ,CDF,Lake,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 17,,Vananda Creek Benthic Stickleback,,F-GASP-17,AFCPA03190,G1,29-Nov-18,S1,30-Mar-18,06-Mar-00,E (Apr 2010), ,Red,Y (May 2004),, ,,,,1-E (Jun 2003),, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSC,2,PWRD, ,CDF,Lake,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 18,,"Misty Lake ""Lake"" Stickleback",,F-GASP-18,AFCPA03200,G1,29-Nov-18,S1,30-Mar-18,10-Mar-04,E (Nov 2006), ,Red, ,, ,,,,1-E (Feb 2010),, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DNI,1,MWRD, ,CWH,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 19,,"Misty Lake ""Stream"" Stickleback",,F-GASP-19,AFCPA03210,G1,29-Nov-18,S1,30-Mar-18,10-Mar-04,E (Nov 2006), ,Red, ,, ,,,,1-E (Feb 2010),, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DNI,1,MWRD, ,CWH,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 2,,Enos Lake Limnetic Stickleback,,F-GASP-02,AFCPA03040,G1,05-Jul-19,SX,30-Mar-18,30-Mar-18,E (May 2012), ,Red, ,, ,,,,1-E (Jan 2005),, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSI,1,RDN, ,CDF,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 3,,Enos Lake Benthic Stickleback,,F-GASP-03,AFCPA03050,G1,29-Nov-18,SX,30-Apr-18,30-Apr-18,E (May 2012), ,Red, ,, ,,,,1-E (Jan 2005),, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSI,1,RDN, ,CDF,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 4,,Paxton Lake Limnetic Stickleback,,F-GASP-04,AFCPA03060,G1,29-Nov-18,S1,30-Mar-18,31-Jan-92,E (Apr 2010), ,Red, ,, ,,,,1-E (Jun 2003),, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSC,2,PWRD, ,CDF,,Native,Regularly occurring,, ,Y,Y,
Gasterosteus sp. 5,,Paxton Lake Benthic Stickleback,,F-GASP-05,AFCPA03070,G1,04-Feb-16,S1,30-Mar-18,31-Jan-92,E (Apr 2010), ,Red, ,, ,,,,1-E (Jun 2003),, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gasterosteiformes,Gasterosteidae,DSC,2,PWRD, ,CDF,,Native,Regularly occurring,, ,Y,Y,
Genyonemus lineatus,,White Croaker,,F-GELI,AFCQH13010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Sciaenidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Gibbonsia metzi,,Striped Kelpfish,,F-GIME,AFCQQ08030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Clinidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Gibbonsia montereyensis,,Crevice Kelpfish,,F-GIMO,AFCQQ08040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Clinidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Glyptocephalus zachirus,Errex zachirus,Rex Sole,,F-GLZA,AFCTB21010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Gobiesox maeandricus,,Northern Clingfish,,F-GOMA,AFCXA02020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Gobiesocidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Gymnocanthus galeatus,,Armorhead Sculpin,,F-GYGA,AFC4E19020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Gyrinomimus sp. 1,,Flabby Whalefish,,F-GYSP,AFC9B01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stephanoberyciformes,Cetomimidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Halargyreus johnsonii,,Slender Codling,,F-HAJO,AFCMH04010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Gadiformes,Moridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hemilepidotus hemilepidotus,,Red Irish Lord,,F-HEHE,AFC4E31010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hemilepidotus spinosus,,Brown Irish Lord,,F-HESP,AFC4E31040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hemitripterus bolini,,Bigmouth Sculpin,,F-HEBO,AFC4E20020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hemitripteridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Heterostichus rostratus,,Giant Kelpfish,,F-HERO,AFCQQ10010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Clinidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hexagrammos decagrammus,,Kelp Greenling,,F-HEDE,AFC4D01010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hexagrammidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hexagrammos lagocephalus,,Rock Greenling,,F-HELA,AFC4D01020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hexagrammidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hexagrammos octogrammus,,Masked Greenling,,F-HEOC,AFC4D01030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hexagrammidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hexagrammos stelleri,,Whitespotted Greenling,,F-HEST,AFC4D01040,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Hexagrammidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hexanchus griseus,,Bluntnose Sixgill Shark,,F-HEGR,AFDBB01010,GNR,,SNR,,,SC (Apr 2007), ,No Status, ,, ,,,,1-SC (Mar 2009),, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Hexanchiformes,Hexanchidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hiodon alosoides,,Goldeye,,F-HIAL,AFCGA01010,G5,21-Dec-17,S3,15-May-19,10-Mar-04, , ,Blue, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Hiodontiformes,Hiodontidae,DFN;DPC,9,PRRD;NRRD,Northern Rockies;Taylor,BWBS,,Native,Regularly occurring,, ,N,W,No occurrences mapped.
Hippoglossoides elassodon,,Flathead Sole,,F-HIEL,AFCTB06010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hippoglossus stenolepis,,Pacific Halibut,,F-HIST,AFCTB07020,G5,24-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Holtbyrnia latifrons,,Teardrop Tubeshoulder,,F-HOLA,AFCHK01020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Argentiniformes,Platytroctidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hybognathus hankinsoni,,Brassy Minnow,,F-HYHA,AFCJB16020,G5,17-Aug-15,S4,25-Aug-11,05-Jan-04, , ,No Status, ,, ,,,,,,4 - Secure (2005),,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DCC;DCK;DPG,2;5;6;7;9, , ,BWBS;CDF;CWH;SBS,,Native,Regularly occurring,, ,N,N,
Hybognathus hankinsoni - Pacific group,Hybognathus hankinsoni pop. 2,Brassy Minnow - Pacific Group,,F-HYHA-02,AFCJB16022,G5TNR,,S2S3,01-Feb-19,02-Jan-12, , ,Blue, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae,DCK,2,MVRD;FVRD, ,CDFmm;CWHdm;CWHxm,,Native,Regularly occurring,, ,Y,Y,
Hybognathus hankinsoni - western Arctic group,Hybognathus hankinsoni pop. 1,Brassy Minnow - Western Arctic Group,,F-HYHA-01,AFCJB16021,G5TNR,,S3S4,25-Aug-11,02-Jan-12, , ,Blue, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Population,Animalia,Craniata,Actinopterygii,Cypriniformes,Cyprinidae, , , , , ,,Native,Regularly occurring,, ,Y,Y,
Hydrolagus colliei,,Spotted Ratfish,,F-HYCO,AFDAA01010,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Chimaeriformes,Chimaeridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hyperprosopon argenteum,,Walleye Surfperch,,F-HYAR,AFCQK06020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hyperprosopon ellipticum,,Silver Surfperch,,F-HYEL,AFCQK06030,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Embiotocidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hypomesus pretiosus,,Surf Smelt,,F-HYPR,AFCHB01030,G5,12-Sep-96,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Osmeriformes,Osmeridae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hypsagonus mozinoi,,Kelp Poacher,,F-HYMO,AFC4F01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Hypsagonus quadricornis,,Fourhorn Poacher,,F-HYQU,AFC4F08010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Agonidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Icelinus borealis,,Northern Sculpin,,F-ICBO,AFC4E32010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Icelinus burchami,,Dusky Sculpin,,F-ICBU,AFC4E32020,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Icelinus filamentosus,,Threadfin Sculpin,,F-ICFI,AFC4E32040,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Icelinus fimbriatus,,Fringed Sculpin,,F-ICFM,AFC4E32050,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Icelinus tenuis,,Spotfin Sculpin,,F-ICTE,AFC4E32080,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Icelus spiniger,,Thorny Sculpin,,F-ICSP,AFC4E21050,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Scorpaeniformes,Cottidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Ichthyococcus elongatus,,Slim Lightfish,,F-ICEL,AFC7A04010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Phosichthyidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Icichthys lockingtoni,,Medusafish,,F-ICLO,AFCS406010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Centrolophidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Icosteus aenigmaticus,,Ragfish,,F-ICAE,AFCSQ01010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Perciformes,Icosteidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Ictalurus natalis,,Yellow Bullhead,,F-ICNA,AFCKA06040,G5,14-Oct-11,SNA,15-May-19,23-Dec-15, , ,Exotic, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Siluriformes,Ictaluridae, , , , , ,,Exotic,Regularly occurring,, ,N,N,
Idiacanthus antrostomus,,Pacific Dragonfish,,F-IDAN,AFC7B08010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Stomiiformes,Stomiidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Isopsetta isolepis,Pleuronectes isolepis,Butter Sole,,F-ISIS,AFCTB16090,G5,22-Dec-17,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,ray-finned fishes,Species,Animalia,Craniata,Actinopterygii,Pleuronectiformes,Pleuronectidae, , , , , ,,Native,Regularly occurring,, ,N,N,
Isurus oxyrinchus,,Shortfin Mako,,F-ISOX,AFDDE03010,GNR,,SNR,,, , ,No Status, ,, ,,,,,, ,,Vertebrate Animal,cartilaginous fishes,Species,Animalia,Craniata,Chondrichthyes,Lamniformes,Lamnidae, , , , , ,,Native,Regularly occurring,, ,N,N,
